,5886,5251,5252,5122,5123
2022-01-01,0,0,2.00,0,0
2022-01-02,3.25,0,2.00,2.50,2.50
2022-01-03,3.25,0,2.00,4.50,4.00
2022-01-04,3.25,0,2.00,5.00,0
2022-01-05,9.75,6.00,4.00,8.00,4.00
2022-01-06,0,0,0,0,0
2022-01-07,16.75,8.00,6.00,14.50,11.00
2022-01-08,6.50,2.00,2.00,4.00,7.00
2022-01-09,10.00,8.00,4.00,11.50,9.50
2022-01-10,0,0,0,0,0
2022-01-11,6.50,6.00,4.00,8.00,6.00
2022-01-12,16.75,6.00,6.00,12.00,8.00
2022-01-13,6.50,2.00,2.00,14.00,9.00
2022-01-14,6.50,4.00,2.00,9.00,2.50
2022-01-15,6.50,4.00,2.00,6.00,8.50
2022-01-16,9.75,6.00,4.00,8.00,4.00
2022-01-17,3.25,4.00,2.00,8.00,2.00
2022-01-18,0,0,0,0,0
2022-01-19,3.50,0,0,2.50,0
2022-01-20,9.75,8.00,8.00,16.00,5.00
2022-01-21,13.00,10.00,8.00,11.50,4.50
2022-01-22,3.25,4.00,4.00,14.00,6.00
2022-01-23,13.00,4.00,2.00,6.50,7.50
2022-01-24,0,0,0,0,0
2022-01-25,0,0,0,0,0
2022-01-26,0,0,2.00,2.00,0
2022-01-27,3.25,2.00,4.00,6.00,2.00
2022-01-28,3.25,6.00,6.00,15.00,4.50
2022-01-29,3.50,2.00,2.00,5.50,3.00
2022-01-30,6.50,14.00,8.00,14.00,7.00
2022-01-31,0,2.00,0,0,0
2022-02-01,3.25,2.00,2.00,5.00,2.00
2022-02-02,0,2.00,2.00,2.00,0
2022-02-03,10.25,4.00,4.25,10.50,4.00
2022-02-04,3.25,2.00,2.00,5.00,2.50
2022-02-05,0,2.00,2.00,2.00,2.50
2022-02-06,9.75,6.00,4.00,13.00,4.50
2022-02-07,3.25,2.00,0,4.00,0
2022-02-08,0,0,0,0,0
2022-02-09,3.25,2.00,0,2.00,0
2022-02-10,3.25,2.00,2.00,5.00,0
2022-02-11,3.25,4.00,4.00,9.50,2.50
2022-02-12,10.25,6.00,4.00,15.50,4.50
2022-02-13,22.75,12.00,8.00,21.00,13.00
2022-02-14,3.25,2.00,2.00,6.00,2.00
2022-02-15,6.50,4.00,2.00,8.50,2.50
2022-02-16,3.25,0,0,4.00,0
2022-02-17,6.75,4.00,2.00,9.00,2.50
2022-02-18,6.50,6.00,4.00,11.50,2.50
2022-02-19,3.25,2.00,0,4.00,0
2022-02-20,10.25,4.00,4.25,12.50,4.00
2022-02-21,0,0,0,0,0
2022-02-22,6.50,4.00,2.00,4.00,5.00
2022-02-23,3.25,0,0,2.50,0
2022-02-24,0,0,0,0,0
2022-02-25,9.75,10.00,8.00,19.50,7.00
2022-02-26,0,0,0,0,0
2022-02-27,16.50,6.00,4.00,14.50,7.00
2022-02-28,3.25,0,0,2.00,0
2022-03-01,3.25,0,0,2.50,2.50
2022-03-02,3.50,0,2.25,4.50,0
2022-03-03,3.25,4.00,4.00,9.00,2.50
2022-03-04,0,0,0,0,0
2022-03-05,0,2.00,0,2.00,0
2022-03-06,16.25,8.00,10.00,21.00,2.00
2022-03-07,10.25,4.00,4.00,15.00,2.50
2022-03-08,3.25,2.00,0,4.50,2.50
2022-03-09,0,0,0,0,0
2022-03-10,6.50,4.00,4.25,9.00,4.50
2022-03-11,0,0,0,0,0
2022-03-12,13.25,8.25,6.00,18.00,6.50
2022-03-13,13.00,10.00,8.00,12.50,6.00
2022-03-14,3.50,0,4.25,7.00,0
2022-03-15,3.25,0,2.00,4.00,0
2022-03-16,0,0,0,0,0
2022-03-17,0,2.00,0,2.00,0
2022-03-18,6.50,6.00,6.00,18.50,9.00
2022-03-19,3.25,2.00,4.00,7.00,2.00
2022-03-20,6.50,4.00,0,4.50,5.00
2022-03-21,3.25,2.00,4.00,7.00,0
2022-03-22,3.50,2.25,2.25,4.00,2.00
2022-03-23,0,0,0,0,0
2022-03-24,6.75,2.00,2.00,11.50,5.00
2022-03-25,0,0,0,0,0
2022-03-26,9.75,2.00,4.00,4.00,6.50
2022-03-27,13.25,8.00,6.00,13.00,4.50
2022-03-28,13.25,2.00,6.00,16.50,2.00
2022-03-29,0,2.00,2.00,4.00,0
2022-03-30,3.25,2.00,2.00,5.00,2.50
2022-03-31,9.75,4.23,4.25,13.50,4.50
2022-04-01,0,0,0,2.00,0
2022-04-02,3.25,2.00,2.00,9.00,2.00
2022-04-03,13.00,6.00,10.00,12.00,6.00
2022-04-04,0,0,0,0,0
2022-04-05,0,0,0,0,0
2022-04-06,0,0,0,0,0
2022-04-07,6.50,4.00,2.00,12.00,2.50
2022-04-08,3.25,4.00,6.00,7.50,2.00
2022-04-09,6.00,4.00,4.00,6.00,2.00
2022-04-10,6.50,2.00,2.00,7.00,2.50
2022-04-11,16.75,8.50,8.25,21.00,4.50
2022-04-12,13.25,4.25,4.25,10.00,6.00
2022-04-13,0,0,0,0,0
2022-04-14,0,2.00,2.00,2.00,0
2022-04-15,6.50,4.00,2.00,7.00,4.50
